agent,step,skill_mean,skill_sem,external_return_mean,external_return_sem,learning_progress_mean,learning_progress_sem,easy_ratio_mean,easy_ratio_sem,challenge_ratio_mean,challenge_ratio_sem,noisy_tv_ratio_mean,noisy_tv_ratio_sem,treadmill_ratio_mean,treadmill_ratio_sem,impossible_ratio_mean,impossible_ratio_sem,meaningless_suffering_ratio_mean,meaningless_suffering_ratio_sem,boredom_rate_mean,boredom_rate_sem,challenge_appropriateness_error_mean,challenge_appropriateness_error_sem,mean_selected_challenge_difficulty_mean,mean_selected_challenge_difficulty_sem,total_damage_mean,total_damage_sem
difficulty,100,0.41752751237671737,0.017112965052002525,18.86,1.9001632582921038,0.3375275123767174,0.01711296505200252,0.07680000000000001,0.015095451403029475,0.5012,0.026852035988630243,0.2352,0.024085290624980965,0.1868,0.025531796902318184,0.0,0.0,0.1868,0.025531796902318184,0.07680000000000001,0.015095451403029475,0.4180587661498672,0.0029184253912361946,0.5722242027368167,0.010951054977427724,0.0,0.0
difficulty,200,0.6768521573132905,0.016734436569125898,52.04,3.1380430662618837,0.5968521573132904,0.016734436569125898,0.07210000000000001,0.011081414851093737,0.48950000000000005,0.015960570037387992,0.22540000000000002,0.017728588695743865,0.213,0.019910001588782106,0.0,0.0,0.213,0.019910001588782106,0.07210000000000001,0.011081414851093737,0.42451047295994854,0.0017442927732300524,0.5459838024655038,0.01018102831629398,0.0,0.0
difficulty,300,0.8627836010327943,0.016686849298141158,93.04,4.4278303527408385,0.7827836010327942,0.016686849298141158,0.06606666666666666,0.008811809227361338,0.4772,0.01433684816894917,0.2309333333333333,0.017604895216981754,0.22579999999999997,0.017872516556785234,0.0,0.0,0.22579999999999997,0.017872516556785234,0.06646666666666666,0.008784344970075342,0.43181283995350017,0.0015893110244344503,0.5344519228684907,0.00939810692118288,0.0,0.0
difficulty,400,1.0031336712606187,0.013244037784950025,144.26,6.104117713578637,0.9231336712606186,0.013244037784950024,0.07079999999999999,0.008685091613018864,0.4808,0.014730996059260867,0.2174,0.01585745816932325,0.23099999999999998,0.017342292294873142,0.0,0.0,0.23099999999999998,0.017342292294873142,0.0783,0.00939861040532165,0.43841308302837306,0.0017312393988097045,0.5412752460746095,0.010672510474529289,0.0,0.0
difficulty,500,1.0653883453047306,0.009982649855186097,200.68,7.790912550359357,0.9853883453047305,0.009982649855186097,0.07836,0.009415695103693314,0.4842,0.01665812298023069,0.21163999999999997,0.01632503423754887,0.22580000000000006,0.01786436425412563,0.0,0.0,0.22580000000000006,0.01786436425412563,0.11436,0.011758340852001047,0.4442917730565169,0.0020354245388196153,0.5546733475295094,0.013497216930388188,0.0,0.0
difficulty,600,1.0988538912418182,0.005626520030937396,240.74,8.664014717231737,1.0188538912418181,0.005626520030937397,0.07579999999999999,0.009755891295314149,0.4657,0.015755292095830636,0.22506666666666666,0.018060302114628515,0.23343333333333333,0.01837906541017453,0.0,0.0,0.23343333333333333,0.01837906541017453,0.1298,0.012431001404487385,0.44676014510972467,0.002214695751957168,0.5658384669027765,0.01459785301516595,0.0,0.0
difficulty,700,1.1143784727858952,0.002232714222291782,267.5,8.958919851073519,1.0343784727858953,0.0022327142222917833,0.0682,0.00890524042097883,0.43705714285714287,0.014164230397043277,0.24265714285714288,0.020399345441965568,0.25208571428571425,0.02048407148265343,0.0,0.0,0.25208571428571425,0.02048407148265343,0.13214285714285715,0.011371083546635874,0.44821664901784575,0.0021806107246015024,0.5701120907045776,0.014545572591851488,0.0,0.0
difficulty,800,1.1191073759047878,0.0007786169764212653,291.72,9.480680247702885,1.039107375904788,0.0007786169764212665,0.06215,0.007810089628166888,0.412925,0.013374588015779653,0.256475,0.023603811359911464,0.26845,0.023285620069923334,0.0,0.0,0.26845,0.023285620069923334,0.136075,0.009988322901656467,0.4490254783299119,0.002176758456735125,0.5739013451085393,0.01471163912098525,0.0,0.0
difficulty,900,1.1198615625826105,0.00013843741738957862,312.88,9.719353300062128,1.0398615625826104,0.00013843741738957968,0.05731111111111112,0.006982040813969906,0.3898222222222223,0.01202857771242405,0.2687111111111112,0.02645925308035298,0.28415555555555555,0.025835649519456924,0.0,0.0,0.28415555555555555,0.025835649519456924,0.1411333333333333,0.009037002403809577,0.4502391431783251,0.002000287785095646,0.5744471167962996,0.014492013616952956,0.0,0.0
difficulty,1000,1.12,0.0,332.36,9.816178233000906,1.04,1.5539885205834494e-17,0.052919999999999995,0.006291415596197855,0.36982,0.010974615980450858,0.27990000000000004,0.02881692034134084,0.29736,0.02812312230466712,0.0,0.0,0.29736,0.02812312230466712,0.14492,0.008190429457231016,0.4514048335628834,0.0018009002915505136,0.5739926403136516,0.013878087252937609,0.0,0.0
